Date,K,Bisection,Secant,Newton,MP,BSM
0.07,1750,0.959171563720703,0.959141190904623,0.9591412038903745,0.05,0.050020571690577054
0.07,1800,0.9885875671386719,0.9885891692453928,0.9885891753164034,0.05,0.049998936698047225
0.07,1850,0.9999389709472657,1.0171169594246074,1.0171169666322073,0.05,0.03984288529882729
0.07,1875,0.9999389709472657,1.0310531567814867,1.031053152983759,0.05,0.03304171930859018
0.07,1900,0.9999389709472657,1.0447795140605303,1.0447795005140095,0.05,0.027407558742567506
0.07,2000,0.9999389709472657,1.0977049494579256,1.0977049830078247,0.05,0.01300815326618135
0.15,200,0.9999389709472657,,,568.0,571.5530814101953
0.15,300,0.9999389709472657,,,468.4,472.7138484350874
0.15,350,0.9999389709472657,,,418.75,424.1076657496918
0.15,375,0.9999389709472657,,,394.05,400.24768327566625
0.15,400,0.9999389709472657,,,369.35,376.80086750133233
0.15,425,0.9999389709472657,,,344.75,353.85938408205897
0.15,450,0.9999389709472657,,,320.25,331.5133632170757
0.15,480,0.9999389709472657,,,291.05,305.6023186505323
0.15,490,0.9999389709472657,,,281.4,297.20560261193083
0.15,500,0.9999389709472657,,,271.75,288.93630661264996
0.15,510,0.9999389709472657,,,262.15,280.79834218670914
0.15,515,0.9999389709472657,,,257.35,276.77974507135747
0.15,520,0.9999389709472657,,,252.6,272.7953033079653
0.15,525,0.9999389709472657,,,247.75,268.845415233068
0.15,530,0.9999389709472657,,,242.95,264.93045851504417
0.15,540,0.9999389709472657,,,233.45,257.20674600072573
0.15,550,0.9999389709472657,,,224.05,249.6267714565749
0.15,560,0.3873293395996093,0.38728093691900467,0.3872810560624219,214.75,214.75045867873632
0.15,570,0.41662328491210926,0.4165709309852925,0.41657099940390463,205.45,205.4508561868189
0.15,575,0.4263879333496094,0.4263620057021142,0.4263620703074142,200.85,200.85050924229358
0.15,580,0.43505405883789067,0.4350187216884578,0.4350187777569633,196.3,196.30081449619934
0.15,585,0.4407907897949218,0.44083640741819785,0.440836444988759,191.75,191.7488027679451
0.15,590,0.4445745910644531,0.44457578992381647,0.44457583339674467,187.2,187.19996374031416
0.15,600,0.44896868286132807,0.4489711873414399,0.44897120625278847,178.15,178.14991178047967
0.15,605,0.45128778686523435,0.45126880895257865,0.45126883111730565,173.7,173.70072074647544
0.15,610,0.4522642517089844,0.4523065390034048,0.45230655358945493,169.25,169.24826766244485
0.15,615,0.4533627746582031,0.4534227936572262,0.4534228200159642,164.85,164.8473594402834
0.15,620,0.45348483276367185,0.453488493519325,0.4534885166632864,160.45,160.4498272319537
0.15,625,0.45263042602539066,0.45264609587634747,0.452646119524101,156.05,156.04921964129596
0.15,630,0.4528745422363281,0.4529053897306538,0.45290539737337016,151.75,151.74837120142934
0.15,635,0.4522642517089844,0.45225946752729723,0.4522594759464762,147.45,147.4502662638232
0.15,640,0.45079955444335934,0.4508121591032504,0.45081216983274836,143.15,143.1492604069855
0.15,645,0.45031132202148433,0.4502703980076906,0.4502704118710974,138.95,138.9525233080725
0.15,650,0.44896868286132807,0.44893230898649855,0.44893231414959145,134.75,134.75235048374498
0.15,655,0.44689369506835935,0.4468746990202761,0.44687470738695795,130.55,130.55128153757414
0.15,660,0.4455510559082031,0.44558051334655596,0.44558051637376384,126.45,126.4479237255789
0.15,665,0.4435981262207031,0.4435705154145966,0.4435705209302563,122.35,122.35202545687207
0.15,670,0.44225548706054685,0.4422134694860915,0.44221347143640594,118.35,118.35320767039514
0.15,675,0.4401804992675781,0.4401520951022256,0.44015209918754444,114.35,114.35224963248652
0.15,680,0.4374952209472656,0.43743805683229536,0.4374380583589698,110.35,110.35468669773019
0.15,685,0.4352981750488281,0.4352936409614406,0.4352936446817267,106.45,106.45038417629684
0.15,690,0.43358936157226563,0.43364331958531027,0.43364332084050783,102.65,102.64527203418373
